ENTRY/EXIT,BWK,MIN,KAR,VAL,MEY,MAR,CDV,BOC,TAM,BAL,SRI,PUL,SNM,SNF,MXC,ANG,DAU,TIP,DIN,FLO,POR,CLARKS,MAB,CLARKN,DOLORES,BAM,CONC,SMIG,TARLAC
MIN,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAR,69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAL,69,69,69,,,,,,,,,,,,,,,,,,,,,,,,,,
MEY,69,69,69,69,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,69,69,69,69,69,,,,,,,,,,,,,,,,,,,,,,,,
CDV,77,77,77,77,77,77,,,,,,,,,,,,,,,,,,,,,,,
BOC,84,84,84,84,84,84,7,,,,,,,,,,,,,,,,,,,,,,
TAM,88,88,88,88,88,88,10,4,,,,,,,,,,,,,,,,,,,,,
BAL,107,107,107,107,107,107,30,23,19,,,,,,,,,,,,,,,,,,,,
TAB,122,122,122,122,122,122,45,38,35,15,,,,,,,,,,,,,,,,,,,
SRI,128,128,128,128,128,128,51,44,40,21,,,,,,,,,,,,,,,,,,,
PUL,156,156,156,156,156,156,78,71,68,49,28,,,,,,,,,,,,,,,,,,
SNM,203,203,203,203,203,203,126,119,115,96,75,47,,,,,,,,,,,,,,,,,
SNF,239,239,239,239,239,239,162,155,151,132,111,83,36,,,,,,,,,,,,,,,,
MXC,268,268,268,268,268,268,190,184,180,161,140,112,65,29,,,,,,,,,,,,,,,
ANG,302,302,302,302,302,302,225,218,214,195,174,146,99,63,34,,,,,,,,,,,,,,
DAU,310,310,310,310,310,310,233,226,222,203,182,155,107,71,43,8,,,,,,,,,,,,,
STI,332,332,332,332,332,332,254,248,244,225,204,176,129,93,64,30,21,,,,,,,,,,,,
TIP,616,616,616,616,616,616,538,532,528,509,488,460,413,377,348,314,305,35,,,,,,,,,,,
DIN,528,528,528,528,528,528,450,444,440,421,400,372,325,289,260,226,217,88,,,,,,,,,,,
FLO,445,445,445,445,445,445,367,361,357,338,317,289,242,206,177,143,134,171,83,,,,,,,,,,
POR,385,385,385,385,385,385,307,301,297,278,257,229,182,146,117,83,74,231,143,60,,,,,,,,,
CLARKS,339,339,339,339,339,339,261,255,251,232,211,183,136,100,71,37,28,277,189,106,45,,,,,,,,
MAB,332,332,332,332,332,332,254,248,244,225,204,176,129,93,64,30,21,284,196,113,53,7,,,,,,,
CLARKN,350,350,350,350,350,350,272,266,262,243,222,194,147,111,82,48,39,302,214,132,71,26,18,,,,,,
DOL,357,357,357,357,357,357,279,273,269,250,229,201,154,118,89,55,46,309,221,138,78,32,25,7,,,,,
BAM,386,386,386,386,386,386,308,302,298,279,258,230,183,147,118,84,75,338,250,168,107,62,54,36,29,,,,
CONC,403,403,403,403,403,403,325,319,315,296,275,247,200,164,135,101,92,355,267,184,124,78,71,53,46,17,,,
SMIG,465,465,465,465,465,465,387,381,377,358,337,309,262,226,197,163,154,417,329,246,186,140,133,115,108,79,62,,
TARLAC,487,487,487,487,487,487,409,403,399,380,359,331,284,248,219,185,176,439,351,268,207,162,155,136,130,100,84,22,