POINT,SKY,MAG,C-5,BIC,SUC,ALA,FIL,MCX,SUS,SNP,SWD,CAR,MAM,STR,ABI,CAB,SIL,CAL,STO
MER,,49,,,,,,,,,,,,,,,,,
BIC,72,49,49,,,,,,,,,,,,,,,,
SUC,118,84,84,34,,,,,,,,,,,,,,,
ALA,164,118,118,69,34,,,,,,,,,,,,,,
FIL,168,122,122,73,38,4,,,,,,,,,,,,,
MCX,196,150,150,101,66,32,29,,,,,,,,,,,,
SUS,179,133,133,84,49,15,12,17,,,,,,,,,,,
SNP,185,139,139,90,55,21,16,22,5,,,,,,,,,,
SWD,198,152,152,103,68,34,30,36,19,13,,,,,,,,,
CAR,204,158,158,109,74,40,35,40,23,19,5,,,,,,,,
MAM,213,167,167,118,83,49,44,49,32,28,14,8,,,,,,,
STR,221,175,175,126,91,57,52,57,40,35,22,16,7,,,,,,
ABI,232,186,186,137,102,68,63,69,52,47,33,28,19,11,,,,,
CAB,239,193,193,144,109,75,70,76,59,53,40,35,26,19,6,,,,
SIL,244,198,198,149,114,80,76,80,63,59,45,40,31,23,12,4,,,
CAL,260,214,214,165,130,96,91,97,80,75,61,56,47,39,28,21,15,,
STO,,,,,,,,,,,,,,,,,,25,